종목코드,회사명
284740.KS,쿠쿠홈시스
285130.KS,SK케미칼
269620.KS,시스웍
187870.KS,디바이스
236030.KS,씨알푸드
281740.KS,레이크머티리얼즈
282330.KS,BGF리테일
092780.KS,DYP
272450.KS,진에어
260930.KS,씨티케이
241770.KS,메카로
234300.KS,에스트래픽
281820.KS,케이씨텍
066360.KS,체리부로
007680.KS,대원
272550.KS,삼양패키징
253450.KS,스튜디오드래곤
950160.KS,코오롱티슈진
278990.KS,EMB
055490.KS,테이팩스
280360.KS,롯데웰푸드
180060.KS,탑선
265560.KS,영화테크
234100.KS,폴라리스세원
263810.KS,상신전자
255440.KS,야스
277410.KS,인산가
263920.KS,휴엠앤씨
243840.KS,신흥에스이씨
179900.KS,유티아이
171090.KS,선익시스템
259630.KS,엠플러스
174900.KS,앱클론
263750.KS,펄어비스
256940.KS,킵스파마
260870.KS,SK시그넷
263600.KS,덕우전자
270520.KS,앱튼
258610.KS,케일럼
140670.KS,알에스오토메이션
900310.KS,컬러레이
273060.KS,와이즈버즈
118990.KS,모트렉스
263800.KS,데이타솔루션
263860.KS,지니언스
263720.KS,디앤씨미디어
162120.KS,루켄테크놀러지스
238490.KS,힘스
271980.KS,제일약품
251630.KS,브이원텍
227610.KS,아우딘퓨쳐스
272290.KS,이녹스첨단소재
035720.KS,카카오
271560.KS,오리온
003380.KS,하림지주
261200.KS,덴티스
233250.KS,메디안디노스틱
267320.KS,나인테크
270210.KS,에스알바이오텍
266170.KS,뿌리깊은나무들
250000.KS,보라티알
267980.KS,매일유업
225190.KS,LK삼양
264850.KS,이랜시스
161580.KS,필옵틱스
268280.KS,미원에스씨
267290.KS,경동도시가스
251270.KS,넷마블
267250.KS,HD현대
267270.KS,HD현대건설기계
267260.KS,HD현대일렉트릭
256630.KS,포인트엔지니어링
166090.KS,하나머티리얼즈
258790.KS,소프트캠프
251370.KS,와이엠티
266870.KS,파워풀엑스
264900.KS,크라운제과
265520.KS,AP시스템
263770.KS,유에스티
063760.KS,이엘피
264450.KS,유비쿼스
178320.KS,서진시스템
183300.KS,코미코
246720.KS,아스타
145720.KS,덴티움
217480.KS,에스디생명공학
002800.KS,신신제약
083500.KS,에프엔에스테크
087260.KS,모바일어플라이언스
241820.KS,피씨엘
111110.KS,호전실업
140070.KS,서플러스글로벌
206650.KS,유바이오로직스
227420.KS,도부
256840.KS,한국비엔씨
241520.KS,DSC인베스트먼트
246690.KS,TS인베스트먼트
147760.KS,피엠티
199290.KS,바이오프로테크
196300.KS,HLB펩
203450.KS,유니온바이오메트릭스
215600.KS,신라젠
254120.KS,자비스
143210.KS,핸즈코퍼레이션
241790.KS,티이엠씨씨엔에스
220100.KS,퓨쳐켐
144960.KS,뉴파워프라즈마
156100.KS,엘앤케이바이오
220180.KS,핸디소프트
241560.KS,두산밥캣
207940.KS,삼성바이오로직스
237880.KS,클리오
900300.KS,오가닉티코스메틱
238120.KS,얼라인드
252500.KS,세화피앤씨
243870.KS,아이티센코어
216050.KS,인크로스
239610.KS,에이치엘사이언스
241710.KS,코스메카코리아
234080.KS,JW생명과학
900290.KS,GRT
251280.KS,안지오랩
189300.KS,인텔리안테크
072990.KS,에이치시티
950140.KS,잉글우드랩
238090.KS,앤디포스
050960.KS,수산아이앤티
201490.KS,미투온
241590.KS,화승엔터프라이즈
250930.KS,예선테크
229640.KS,LS에코에너지
204210.KS,스타에스엠리츠
241690.KS,유니테크노
250060.KS,모비스
242040.KS,나무기술
234920.KS,자이글
249420.KS,일동제약
900270.KS,헝셩그룹
248170.KS,샘표식품
230360.KS,에코마케팅
191600.KS,블루탑
016740.KS,두올
208860.KS,엔지스테크널러지
073560.KS,우리손에프앤지
212310.KS,오건에코텍
123010.KS,아이윈플러스
066830.KS,제노텍
026960.KS,동서
174880.KS,장원테크
123890.KS,한국자산신탁
034830.KS,한국토지신탁
142760.KS,모아라이프플러스
237750.KS,피앤씨테크
900260.KS,로스웰
245450.KS,씨앤에스링크
195870.KS,해성디에스
237690.KS,에스티팜
144510.KS,지씨셀
148250.KS,알엔투테크놀로지
208850.KS,이비테크
239340.KS,이스트에이드
243070.KS,휴온스
